time,open,high,low,close,volume
1757443800,4284.0,4289.5,4284.0,4289.5,0.2501
1757443860,4288.84,4288.84,4288.84,4288.84,0.0016
1757443920,4288.84,4288.84,4288.84,4288.84,0.0
1757443980,4294.46,4294.47,4294.46,4294.47,0.0871
1757444040,4294.27,4294.27,4294.27,4294.27,0.0104
1757444100,4294.27,4294.27,4294.27,4294.27,0.0
1757444160,4294.27,4294.27,4294.27,4294.27,0.0
1757444220,4293.1,4293.1,4293.1,4293.1,0.0009
1757444280,4286.39,4292.44,4286.39,4292.44,0.2921
1757444340,4286.39,4286.39,4286.39,4286.39,0.0016
1757444400,4286.39,4286.39,4286.39,4286.39,0.0
1757444460,4286.82,4286.82,4286.82,4286.82,0.107
1757444520,4286.82,4286.82,4286.82,4286.82,0.0
1757444580,4286.82,4286.82,4286.82,4286.82,0.0
1757444640,4297.79,4297.79,4297.56,4297.56,0.0115
1757444700,4297.56,4297.56,4297.56,4297.56,0.0
1757444760,4296.48,4296.51,4288.16,4288.16,0.2527
1757444820,4288.16,4288.16,4288.16,4288.16,0.0
1757444880,4288.16,4288.16,4288.16,4288.16,0.0
1757444940,4287.69,4287.69,4287.69,4287.69,0.0005
1757445000,4287.69,4287.69,4287.69,4287.69,0.0
1757445060,4287.69,4287.69,4287.69,4287.69,0.0
1757445120,4287.69,4287.69,4287.69,4287.69,0.0
1757445180,4287.69,4287.69,4287.69,4287.69,0.0
1757445240,4287.69,4287.69,4287.69,4287.69,0.0
1757445300,4287.69,4287.69,4287.69,4287.69,0.0
1757445360,4287.69,4287.69,4287.69,4287.69,0.0
1757445420,4287.69,4287.69,4287.69,4287.69,0.0
1757445480,4287.69,4287.69,4287.69,4287.69,0.0
1757445540,4287.69,4287.69,4287.69,4287.69,0.0
1757445600,4287.69,4287.69,4287.69,4287.69,0.0
1757445660,4294.65,4294.66,4294.65,4294.66,0.0746
1757445720,4299.23,4299.23,4299.23,4299.23,0.0012
1757445780,4299.23,4299.23,4299.23,4299.23,0.0
1757445840,4291.74,4291.74,4291.74,4291.74,0.0007
1757445900,4291.74,4291.74,4291.74,4291.74,0.0
1757445960,4291.74,4291.74,4291.74,4291.74,0.0
1757446020,4291.74,4291.74,4291.74,4291.74,0.0
1757446080,4291.74,4291.74,4291.74,4291.74,0.0
1757446140,4291.74,4291.74,4291.74,4291.74,0.0
1757446200,4295.2,4298.95,4295.2,4298.95,0.0251
1757446260,4298.95,4298.95,4298.95,4298.95,0.0
1757446320,4298.95,4298.95,4298.95,4298.95,0.0
1757446380,4298.95,4298.95,4298.95,4298.95,0.0
1757446440,4298.95,4298.95,4298.95,4298.95,0.0
1757446500,4296.84,4296.84,4296.84,4296.84,0.0004
1757446560,4296.84,4296.84,4296.84,4296.84,0.0
1757446620,4296.84,4296.84,4296.84,4296.84,0.0
1757446680,4296.84,4296.84,4296.84,4296.84,0.0
1757446740,4296.84,4296.84,4296.84,4296.84,0.0
1757446800,4296.84,4296.84,4296.84,4296.84,0.0
